Date,Payee,Category,Memo,Outflow,Inflow
23.03.2026,"MUSTERSHOP, BERLIN",,,14.21,0
23.03.2026,"MUSTERSHOP, BERLIN",,,27.6,0
24.03.2026,"MUSTERSHOP, BERLIN",,,15.34,0
24.03.2026,"LIDL BALGARIYA EOOD, SOFIYA",,,14.26,0
24.03.2026,"MUSTERSHOP, BERLIN",,,5.7,0
24.03.2026,"MUSTERSHOP, BERLIN",,,3.6,0
26.03.2026,"MUSTERSHOP, BERLIN",,,2.4,0
26.03.2026,"MUSTERSHOP, BERLIN",,,1.6,0
26.03.2026,"MUSTERSHOP, BERLIN",,,9.3,0
26.03.2026,"MUSTERSHOP, BERLIN",,,10.2,0
26.03.2026,"MUSTERSHOP, BERLIN",,,4.99,0
26.03.2026,"MUSTERSHOP, BERLIN",,,3.5,0
26.03.2026,"MUSTERSHOP, BERLIN",,,3.2,0
27.03.2026,"MUSTERSHOP, BERLIN",,,5.34,0
28.03.2026,"MUSTERSHOP, BERLIN",,,0.99,0
31.03.2026,Kartenabrechnung 03/2026,,Hanseatic Bank,0,684.63
27.03.2026,"MUSTERSHOP, BERLIN",,,1.6,0
28.03.2026,"MUSTERSHOP, BERLIN",,,0.8,0
27.03.2026,"MUSTERSHOP, BERLIN",,,6.4,0
30.03.2026,"MUSTERSHOP, BERLIN",,,14.31,0
30.03.2026,"MUSTERSHOP, BERLIN",,,2,0
30.03.2026,"MUSTERSHOP, BERLIN",,,3.14,0
01.04.2026,"MUSTERSHOP, BERLIN",,,1.99,0
01.04.2026,"CityGate Sofia Transit, SOFIA",,,2,0
01.04.2026,"MUSTERSHOP, BERLIN",,,13.65,0
01.04.2026,"MUSTERSHOP, BERLIN",,,120.42,0
02.04.2026,"MUSTERSHOP, BERLIN",,"0,61 USD 0,53 EUR Umrechnungskurs: 1,15",0.53,0
02.04.2026,"MUSTERSHOP, BERLIN",,,4.86,0
02.04.2026,"MUSTERSHOP, BERLIN",,,0.8,0
01.04.2026,"MUSTERSHOP, BERLIN",,,10.21,0
01.04.2026,"MUSTERSHOP, BERLIN",,,16.4,0
01.04.2026,"MUSTERSHOP, BERLIN",,,10.15,0
03.04.2026,"MUSTERSHOP, BERLIN",,,36.75,0
02.04.2026,"MUSTERSHOP, BERLIN",,,7.7,0
04.04.2026,"MUSTERSHOP, BERLIN",,,7.3,0
07.04.2026,"MUSTERSHOP, BERLIN",,,0.29,0
07.04.2026,"MUSTERSHOP, BERLIN",,,0.29,0
08.04.2026,"MUSTERSHOP, BERLIN",,,68.42,0
10.04.2026,"MUSTERSHOP, BERLIN",,,5,0
10.04.2026,"MUSTERSHOP, BERLIN",,,51.21,0
11.04.2026,"MUSTERSHOP, BERLIN",,,94.38,0
11.04.2026,"MUSTERSHOP, BERLIN",,,12.35,0
11.04.2026,"BVG, BERLIN",,,12.4,0
12.04.2026,"MUSTERSHOP, BERLIN",,,12.4,0
14.04.2026,"MUSTERSHOP, BERLIN",,,5,0
14.04.2026,"MUSTERSHOP, BERLIN",,,24.78,0
15.04.2026,"MUSTERSHOP, BERLIN",,,7.2,0
16.04.2026,"MUSTERSHOP, BERLIN",,,40.53,0
17.04.2026,,,,50.62,0
18.04.2026,"MUSTERSHOP, BERLIN",,"23,80 USD 20,24 EUR Umrechnungskurs: 1,18",20.24,0
17.04.2026,"MUSTERSHOP, BERLIN",,,70.57,0
18.04.2026,"MUSTERSHOP, BERLIN",,,36.24,0
19.04.2026,"MUSTERSHOP, BERLIN",,,28.5,0
19.04.2026,"BVG, BERLIN",,,12.4,0
20.04.2026,"MUSTERSHOP, BERLIN",,,2.4,0
21.04.2026,"MUSTERSHOP, BERLIN",,,28.44,0
22.04.2026,"MUSTERSHOP, BERLIN",,,24.28,0
