"Дата и час","Приход","Разход","Системен код","Кореспондент","Описание"
"01.04.2019 09:14:08","0.00","1.96","1234567890123456","Кореспондент","Описание"
"02.04.2019 09:14:08","0.00","1.68","1234567890123456","Кореспондент","Описание"
"03.05.2019 11:22:51","0.00","33.67","1234567890123456","Кореспондент","Описание"
"04.05.2019 11:22:51","0.00","3.64","1234567890123456","Кореспондент","Описание"
"05.05.2019 11:22:52","0.00","3.60","1234567890123456","Кореспондент","Описание"
"06.05.2019 11:22:52","0.00","1.45","1234567890123456","Кореспондент","Описание"
"07.05.2019 11:22:52","0.00","5.48","1234567890123456","Кореспондент","Описание"
"08.06.2019 12:07:32","0.00","1.80","1234567890123456","Кореспондент","Описание"
"09.07.2019 13:27:16","0.00","5.18","1234567890123456","Кореспондент","Описание"
"10.07.2019 13:27:17","0.00","3.64","1234567890123456","Кореспондент","Описание"
"11.07.2019 13:27:17","0.00","1.80","1234567890123456","Кореспондент","Описание"
"12.07.2019 13:27:17","0.00","6.40","1234567890123456","Кореспондент","Описание"
"13.08.2019 19:00:47","0.00","3.64","1234567890123456","Кореспондент","Описание"
"14.08.2019 19:00:48","0.00","1.57","1234567890123456","Кореспондент","Описание"
